,Temperature_C,Pressure_bar,FlowRate_m3_hr,Level_%,ConversionRate_%,Hydrogen_Purity_%,Catalyst_Activity_%,Sulfur_Content_%,ConversionEfficiency_%,ProductYield_bbl_day,HydrogenConsumptionRate_m3_day
2023-01-01 00:00:00,296.0046439108746,61.87767367950843,167.0736318806488,77.9273555406253,83.34523007169878,85.96073409613115,87.47335815121525,0.7494563446123936,83.34523007169878,1050.893144529281,10.701424601326353
2023-01-01 01:00:00,294.8289253056949,62.48386173978126,191.75554023323298,74.68565410442764,79.70686290017773,85.37333792788726,87.22460930478192,0.6486287134053534,79.70686290017773,1206.1423480670355,12.81310539108969
2023-01-01 02:00:00,278.05343769339805,71.04850505659775,195.29459938831707,75.16033132519493,83.97674787299414,88.89668686266157,95.765245895209,0.6794744280998215,83.97674787299414,1228.4030301525142,13.179073531384804
2023-01-01 03:00:00,285.95353394973097,63.20545458086672,164.9935482978319,77.25816387100397,82.1218492307744,85.9458137433671,98.56921002797468,0.6619546099667551,82.1218492307744,1037.8094187933625,9.925647370397405
2023-01-01 04:00:00,299.8843800921894,59.23733605604425,147.25480170651375,84.01946050312807,85.11116993674017,84.93536888130154,99.00204210056525,0.7526617966438148,85.11116993674017,926.2327027339715,7.633114456598137
2023-01-01 05:00:00,289.2059791786818,64.30754789763958,186.56176836363076,82.3189088806678,82.42722437539496,85.8945618516468,91.28979802178338,0.7443885047596716,82.42722437539496,1173.4735230072374,9.290609083028835
2023-01-01 06:00:00,309.46954228214474,58.6285902603828,169.13268995868071,78.11107400096107,84.78471401334157,89.07841107323483,86.40185331087416,0.75637530374567,84.78471401334157,1063.8446198401016,7.555293392980056
2023-01-01 07:00:00,312.2066223875136,65.30827446813161,170.29738885263134,78.37312985900294,84.83232186747892,84.90883568823665,88.19391169215172,0.7812796803995559,84.83232186747892,1071.1705758830512,7.700294880311426
2023-01-01 08:00:00,293.96194865405835,58.514183092737206,154.486677936178,78.75532875200703,79.2925789221849,86.99113911623405,97.96679992433651,0.7399114171126547,79.2925789221849,971.7212042185597,7.1220435995533204
2023-01-01 09:00:00,292.62955504452555,71.34996889775678,183.6355720644109,80.80138200399267,83.92733520474609,87.48610830816568,89.20022373183,0.9665685371651064,83.92733520474609,1155.0677482851445,7.397847265077877
2023-01-01 10:00:00,305.8563456346124,62.14817781536542,197.50727650452777,71.7838455763151,83.8270051221409,86.01923067587005,94.53294956667078,0.7395003441022616,83.8270051221409,1242.3207692134797,7.337829094350374
2023-01-01 11:00:00,298.0807959484103,61.134068126331286,177.4627918037378,71.94851628714936,84.3045175303965,86.53126656083623,90.86745914539524,0.6505446666075541,84.3045175303965,1116.2409604455106,10.458356606894675
2023-01-01 12:00:00,300.6174045387895,65.39909567579656,173.2983169312598,86.8139289637383,87.17713834339791,85.07489763067206,93.0453755800963,0.6606040023708151,87.17713834339791,1090.0464134976241,7.713974960451818
2023-01-01 13:00:00,294.1789667601035,67.10592993917687,171.04163437580505,81.09598162978222,80.80428004101213,85.950077492922,85.39919309362361,0.7199697515441422,80.80428004101213,1075.8518802238139,7.199377752630061
2023-01-01 14:00:00,291.46214736232724,70.31131854881332,190.0605641662713,79.86336317094967,85.67468208385492,87.24319820170206,90.32870475542661,0.6490086875400205,85.67468208385492,1195.4809486058464,5.89237743525939
2023-01-01 15:00:00,295.87660561722055,74.8624410490144,204.0965881980514,76.37782112588668,76.36374869089103,86.6648699323589,80.84911235928367,0.6660478103752863,76.36374869089103,1283.7675397657433,10.00367211547734
2023-01-01 16:00:00,320.3630284597762,69.67501626063887,177.00473182781064,74.87781943343263,81.23525777650586,83.97057147657401,95.37105462979217,0.632998944425404,81.23525777650586,1113.359763196929,8.82368674539736
2023-01-01 17:00:00,285.9306555468989,69.58490493208286,176.84716060363792,74.37977892474689,82.07015426908433,87.11129333719921,94.67682498055625,0.6564324824868153,82.07015426908433,1112.3686401968826,9.066322440009353
2023-01-01 18:00:00,300.41142171843245,70.29638429689378,180.7498341505008,73.36300376363447,89.69006258167508,86.8573744803302,90.90598022714542,0.6271405333483083,89.69006258167508,1136.9164568066499,7.725958611463573
2023-01-01 19:00:00,300.7658019057833,54.343794001762284,154.23091601401347,74.56515546930434,87.67596145048927,85.61414362132163,92.90303979045858,0.6366478148841864,87.67596145048927,970.1124617281448,7.625390458190843
2023-01-01 20:00:00,304.2702122911643,58.77303190475334,180.46348643388257,67.97465998023824,80.43362571363507,86.23488651491343,85.81268326177013,0.6044288526730364,80.43362571363507,1135.1153296691214,9.55657526641777
