,Temperature_C,Pressure_bar,FlowRate_m3_hr,Level_%,HeatExchangerEfficiency_%,API_Gravity,Sulfur_Content_%,Viscosity_cP,Yield_bbl_day,EnergyEfficiency_%,DistillationEfficiency_%
2023-01-01 00:00:00,45.18397638052612,16.549186870198522,156.98092949757765,73.21547592299669,68.27336092874613,28.449339659702208,1.1341165711029055,27.067277127865736,987.4100465397634,68.27336092874613,629.0
2023-01-01 01:00:00,45.362517793079526,14.184559649852577,209.0233731980892,65.86341585517606,78.31138433323389,31.962556637831277,0.8256599064363745,19.19198787762229,1314.757017415981,78.31138433323389,629.0
2023-01-01 02:00:00,50.915153485024916,13.764040285309079,176.24183207314144,68.89200281618486,69.7416145077741,23.86811834805561,0.8131623844130512,21.751489152978703,1108.5611237400597,69.7416145077741,629.0
2023-01-01 03:00:00,53.342949946238434,13.587728560441798,180.1796154693346,81.83759290946229,72.12396622677399,28.432624869839415,1.013393623656362,24.785475233844014,1133.3297813021147,72.12396622677399,629.0
2023-01-01 04:00:00,49.73211488850752,14.737046262146087,215.29059629954088,65.66463037352979,70.33259476977865,34.41381518227458,0.5375381981651788,22.80195103589764,1354.1778507241122,70.33259476977865,629.0
2023-01-01 05:00:00,48.726077801532945,13.751424865636263,178.00250493775084,63.6119663658568,66.66573876839429,21.541051609922725,0.9852625378892482,20.113842546508245,1119.635756058453,66.66573876839429,629.0000000000001
2023-01-01 06:00:00,47.97713077803727,9.281248540510934,118.88438937391277,57.76522970269568,71.13181491086483,29.247660845667742,0.43499445826040195,23.640257938789823,747.7828091619114,71.13181491086483,629.0
2023-01-01 07:00:00,44.61416414025217,13.525748703913465,181.37950685802028,75.53804368708764,80.16211286033968,31.85653921509542,0.9433508901526231,26.396128228943844,1140.8770981369476,80.16211286033968,629.0
2023-01-01 08:00:00,43.073686624223775,13.669625126401383,173.51382399974742,61.71525384919871,74.13747324989436,43.647458130556274,0.44309872364953573,26.09857797878447,1091.4019529584114,74.13747324989436,629.0000000000001
2023-01-01 09:00:00,45.37328610635868,14.094629302806728,154.73584670303174,75.58785939546611,74.9149824104488,24.957705915987756,1.1924495029259896,28.206439766952883,973.2884757620697,74.9149824104488,629.0
2023-01-01 10:00:00,50.34826862583629,15.565950331009914,166.65988397677307,64.04703963019615,74.82277972160907,35.71787897125621,0.5680466908890571,17.74874766782635,1048.2906702139026,74.82277972160907,628.9999999999999
2023-01-01 11:00:00,53.540162400234415,16.527419291455004,149.88202334236198,65.11667538695457,64.65994904257825,25.790544014295836,0.8252316800409357,23.47588220873705,942.7579268234568,64.65994904257825,629.0
