,Electricity_Consumption_kWh,Steam_Generation_Rate_kg_hr,Water_Consumption_m3_hr,FuelGas_Consumption_m3_hr,Water_Quality_ppm,Steam_Quality_%,Electricity_Price_$,EnergyEfficiency_kWh_bbl,WaterUsageEfficiency_m3_bbl,SteamGenerationEfficiency_%
2023-01-01 00:00:00,10402.642308376271,7328.573925199401,297.2950265257639,612.7326378868789,-11.777706437628904,101.45178439018348,0.0916158655086621,10.535281005931463,0.30108568124012064,5.445353463629098
2023-01-01 01:00:00,11530.68785404068,7386.9674341398695,276.1128782279701,673.5706535962526,-13.500893377493746,100.17546745063098,0.09659382428578592,8.770204457020549,0.2100105757721236,4.122159870302087
2023-01-01 02:00:00,9639.361085547005,6793.117895237346,277.15096795326485,587.8502319097743,-9.380615429976249,102.78304178662323,0.1140225846888131,8.695380777043454,0.2500096404411278,4.495869036359881
2023-01-01 03:00:00,9843.363139529409,6617.625658237714,255.69816382802762,595.6811244721923,-9.482373785220945,101.85826390519065,0.09903570033320734,8.68534763837238,0.22561673402268556,4.2840056960655755
2023-01-01 04:00:00,10733.018312600545,7400.095826652717,285.4280222216504,642.8138275870166,-11.657122266440336,103.19709569965471,0.10489389734826866,7.92585575584576,0.21077587561266417,4.009274406796051
2023-01-01 05:00:00,10419.073344972438,6768.176863342946,326.6718398359434,619.0304439547426,-4.627908732434244,98.43416182078906,0.07320493929974543,9.305770460253584,0.2917661731221889,4.435055753488923
2023-01-01 06:00:00,11241.149812925192,7119.840002974104,241.271124945966,655.5559068983978,-10.359164688842508,100.84946197812918,0.08887189873636969,15.03264005965031,0.3226486648126803,6.985522591912587
2023-01-01 07:00:00,11082.88493832732,8324.844757198294,276.1021085273054,628.2339214280804,-13.654241630550832,104.21232543707613,0.09840337584150725,9.714354820887957,0.24200863439031267,5.353544603756542
2023-01-01 08:00:00,11026.96923940371,8288.657655396895,295.22155333909586,637.9382193788778,-11.840573540893006,99.91916852354441,0.09311898392015423,10.103490478016306,0.27049754908249235,5.571903933281864
2023-01-01 09:00:00,11919.249782337187,7026.717800133762,267.2540465854913,697.2726812253647,-13.493921221469401,102.63156713300968,0.11198824435092114,12.246368963738732,0.2745887301051578,5.2968182988352925
2023-01-01 10:00:00,10760.267031839463,7450.967442664105,234.90560844996628,637.744334490393,-8.10609473887326,105.24695055237254,0.10530693006388021,10.264583419066243,0.22408442154887637,5.214769170186506
2023-01-01 11:00:00,9687.470939318897,6830.395239835399,274.1505416705562,576.8167274500157,-5.913058443999371,102.60100630806984,0.10320089401996864,10.275671690144268,0.29079632625766755,5.315569321685904
2023-01-01 12:00:00,10023.802183240028,6848.702025795256,273.7943766755986,602.9329552182913,-10.180574853409817,102.08714276388915,0.09573464611565438,8.561449557739351,0.23385105793689365,4.2916789924677134
2023-01-01 13:00:00,11501.535647143417,6698.065164627007,268.710647938876,683.1141120917466,-14.09744416358657,102.8346213532662,0.11946976521855979,9.383986605487188,0.21923829985576473,4.009452400690083
2023-01-01 14:00:00,11046.128630529749,7108.497271236474,281.88934623385586,646.6569495020494,-11.884554347639698,98.37239757236637,0.09377860928257406,10.16375797622262,0.2593718747107447,4.798728329305106
2023-01-01 15:00:00,11689.24266011077,6401.544060456865,263.81639159178104,699.953180765371,-11.114355088204832,99.82120463772969,0.09358009786896962,11.48479197941474,0.25920211140203275,4.614510538483322
2023-01-01 16:00:00,10390.149329602487,6884.241465144139,276.5347471292313,615.2060353509368,-11.025323476810568,100.85213907978294,0.07486793717114937,9.772149833746901,0.2600866356641235,4.750382352668544
2023-01-01 17:00:00,9636.524619393784,6877.43487340152,288.4194130898084,577.9316097409755,-8.081837971726149,100.81262016477355,0.08627981337359239,10.627834034558708,0.31808912193244043,5.56486917818893
2023-01-01 18:00:00,10975.574525665295,6560.982916851258,316.2246427046781,645.6108350270334,-9.261162714035613,99.20726326576103,0.12647557876141477,10.26849081798346,0.29585237952145,4.503523229543576
2023-01-01 19:00:00,10085.09883609768,6776.394174959102,255.11517129060363,618.9674124278606,-12.624590219572433,103.9965970913134,0.10414942391028487,9.257651886014036,0.2341838672116684,4.5637672965892175
2023-01-01 20:00:00,9831.206276362238,6662.680986176539,276.2725423238729,580.4608378477432,-7.490711063155244,107.3001431654442,0.09269979715072262,8.201583412428453,0.23047754636995946,4.0779703264016405
2023-01-01 21:00:00,7802.364314460152,6071.585145360177,303.4500720532508,472.26057086554056,-5.38428677286428,99.0551570310175,0.0991298747804821,6.287990443177849,0.24455294269151184,3.5899787840498987
2023-01-01 22:00:00,11282.255034957787,7142.134315663611,309.7666023685223,653.7683834166121,-12.045062422993247,100.85963951654982,0.10101536167445024,9.518663744124737,0.261345282301269,4.420915662668017
2023-01-01 23:00:00,11109.481841556131,6898.877923365529,287.7344421802342,651.8387490334129,-10.900549336371737,103.11546512163429,0.10277265738447747,9.78136493724509,0.2533363503464076,4.456442048398542
2023-01-02 00:00:00,12363.743504677164,6740.054793908708,285.0957565988177,706.9127124178917,-14.914084366472409,100.67982893261139,0.1063268486876438,9.350904766557077,0.21562266058791804,3.739996696782911
2023-01-02 01:00:00,10490.734704905772,6916.740495825716,262.09388216081754,617.3637814913249,-7.406326317382236,103.02462650844485,0.10015242490183135,8.418000378218052,0.21030999841475992,4.072008375328844
2023-01-02 02:00:00,8388.92156311857,6883.163131872172,288.50811575836786,513.2313241946632,-7.07877866114638,103.57334562623161,0.0945820773289917,6.934542812548833,0.23848975883742193,4.174494629730869
2023-01-02 03:00:00,10526.30495203995,6787.689625149409,280.1565818110469,619.4671510002879,-12.453089070868042,103.08090666654702,0.09153628740616902,8.451043769453342,0.22492370741422996,3.9981632513170475
2023-01-02 04:00:00,9055.094774514719,6675.448406836102,266.236221787896,556.4724197311496,-8.113059884103942,104.21212863738707,0.086201698611481,7.067460248684619,0.2077961590796024,3.8225657314170975
2023-01-02 05:00:00,10628.520760150323,6880.486836566285,265.305841062333,618.2503581041543,-10.339610773388541,100.77593506129898,0.10008529721155611,7.928840101269966,0.19791724918138376,3.7658251103003715
2023-01-02 06:00:00,10167.387350429513,7134.380639825677,267.6583085623354,608.239126656792,-12.637138770881897,103.90092753406145,0.09687354481687546,8.986247318992099,0.23656458388227322,4.626253411524557
2023-01-02 07:00:00,9593.15236077868,6614.568771304813,274.3351384906048,576.1214540572302,-13.606983879952594,100.75194015950093,0.09368194981178218,9.780010608750006,0.2796787191414144,4.947475635058326
2023-01-02 08:00:00,8544.7330318462,6736.245126297334,268.8216361333798,524.4282206554303,-8.228361391025397,98.25624824437452,0.10504423678457177,10.523946352116281,0.33108869129227275,6.08698390944109
2023-01-02 09:00:00,10517.083192983462,6198.299792058379,247.9273490936814,619.8305429293126,-12.493650773586738,104.99479950840704,0.09883666348204852,11.38796909940704,0.2684574171915259,4.92410939504854
2023-01-02 10:00:00,9863.903210175702,7914.999028324269,272.1842879534613,601.7398578856997,-13.636479946688556,102.7898517829503,0.09267366141833781,8.842585919818744,0.24400208527697992,5.205776233430917
2023-01-02 11:00:00,11504.392475153973,7327.925747136637,260.62107255498296,672.7999843746077,-10.189059005564024,106.15508537994602,0.0857271152754006,10.600967163729441,0.24015483114803465,4.954125500240075
2023-01-02 12:00:00,12470.884253917642,7184.435449362566,220.8405783924819,736.4370519184134,-13.943397460912452,102.86459182513178,0.10583983116338852,11.353182984971937,0.20104777223068632,4.798629068373077
